title;author;date;link;pdf_link;query;search_engine;nr_found;cite_count;doi;Investigate further?;abstract viewed;promising papers for kalle;category
Context-Aware Mobile Services Transactions;Muhammad Younas, Soraya Kouadri Mostéfaoui;2010;https://ieeexplore.ieee.org/document/5474804/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5474804;Mobile+transactions+AND+consistency_IEEEXplore.csv;IEEEXplore;5;47;10.1109/AINA.2010.157;y;y;;SACRED
Improving the Success Rate of Concurrent Mobile Transactions by Predicting Time for Execution;Salman Abdul Moiz, Umesh Kumar Choudhary;2014;https://ieeexplore.ieee.org/document/7024677/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7024677;Mobile+transactions+AND+consistency_IEEEXplore.csv;IEEEXplore;3;39;10.1109/UNESST.2014.13;y;y;;Thin-Client, Komplett auf FH, Disconnected, Micro, Macro
Classification of transaction models in mobile database system;Amer O. Abu Salem, Ahmad H. Al-Qeerm;2015;https://ieeexplore.ieee.org/document/7209086/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7209086;Mobile+transactions+AND+Embedded_IEEEXplore.csv;IEEEXplore;1;37;10.1109/WSWAN.2015.7209086;y;y;;Survey, Disconnected, Connected, Micro, Macro, ACID
A distributed trust management model for mobile P2P networks;Xu Wu;2012;https://link.springer.com/article/10.1007/s12083-011-0103-9;https://link.springer.com/content/pdf/10.1007%2Fs12083-011-0103-9.pdf;Movement+management+AND+transactions_SpringerLink.csv;SpringerLink;7;35;https://doi.org/10.1007/s12083-011-0103-9;y;y;;Distributed zwischen mehreren MHs, Micro, Macro
Ensuring Mobile Databases Interoperability in Ad Hoc Configurable Environments: A Plug-and-Play Approach;Angelo Brayner,    José de Aguiar Moraes Filho…;2009;https://link.springer.com/chapter/10.1007/978-3-642-02196-1_8;No PDF available;portable+device*+AND+transaction*+AND+mobile_SpringerLink.csv;SpringerLink;10;30;https://doi.org/10.1007/978-3-642-02196-1_8;y;y;;MANET, Middleware, Micro, Komplett auf MH
Intelligent Middle-Ware Architecture for Mobile Networks;Rayene Ben Rayana,    Jean-Marie Bonnin;2009;https://link.springer.com/chapter/10.1007/978-3-642-01802-2_4;No PDF available;portable+device*+AND+transaction*+AND+mobile_SpringerLink.csv;SpringerLink;12;24;https://doi.org/10.1007/978-3-642-01802-2_4;y;y;;Middleware, Macro
Semantic Data Caching Strategies for Location Dependent Data in Mobile Environments;N. Ilayaraja,    F. Mary Magdalene Jane…;2011;https://link.springer.com/chapter/10.1007/978-3-642-22027-2_14;No PDF available;portable+device*+AND+transaction*+AND+mobile_SpringerLink.csv;SpringerLink;10;22;https://doi.org/10.1007/978-3-642-22027-2_14;y;y;;Strong, Full Client Architektur
Data Replication in Cooperative Mobile Ad-Hoc Networks;Dan Hirsch,    Sanjay Madria;2013;https://link.springer.com/article/10.1007/s11036-012-0393-z;https://link.springer.com/content/pdf/10.1007%2Fs11036-012-0393-z.pdf;portable+device*+AND+transaction*+AND+mobile_SpringerLink.csv;SpringerLink;16;16;https://doi.org/10.1007/s11036-012-0393-z;y;y;;MANET, Micro, Full Client
Mobile Web and Cloud Services;Satish Narayana Srirama;2014;https://link.springer.com/chapter/10.1007/978-1-4614-7535-4_21;No PDF available;portable+device*+AND+transaction*+AND+mobile_SpringerLink.csv;SpringerLink;18;15;https://doi.org/10.1007/978-1-4614-7535-4_21;y;y;;Flexible Client-Server Architektur, Mobile Cloud Computing
A Fault Tolerance Approach for Mobile Agents;Munshi Navid Anjum,    Chandreyee Chowdhury…;2014;https://link.springer.com/chapter/10.1007/978-3-319-07350-7_4;No PDF available;portable+device*+AND+transaction*+AND+mobile_SpringerLink.csv;SpringerLink;11;11;https://doi.org/10.1007/978-3-319-07350-7_4;y;y;;Micro, Mobile Agent, Weak
