title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
MobiCloud: building secure cloud framework for mobile computing and communication,"D Huang, X Zhang, M Kang, J Luo - 2010 fifth IEEE international …, 2010 - computer.org",2010,https://www.computer.org/csdl/proceedings/sose/2010/4081/00/4081a027-abs.html,ftp://ftp.inf.ufrgs.br/pub/geyer/POD/artigos/TL2-2011-1/POD-2011-1-TL2-ER-MobiCloud.pdf,,,1,220,No DOI available
Device-to-device-based heterogeneous radio access network architecture for mobile cloud computing,"M Jo, T Maksymyuk, B Strykhalyuk… - IEEE Wireless …, 2015 - ieeexplore.ieee.org",2015,https://ieeexplore.ieee.org/abstract/document/7143326/,https://www.researchgate.net/profile/Taras_Maksymyuk/publication/279865707_Device-to-device-based_heterogeneous_radio_access_network_architecture_for_mobile_cloud_computing/links/559f679208ae97223ddc6de9.pdf,,,1,108,No DOI available
A QoS-aware system for mobile cloud computing,"P Zhang, Z Yan - Cloud Computing and Intelligence Systems …, 2011 - ieeexplore.ieee.org",2011,https://ieeexplore.ieee.org/abstract/document/6045122/,https://www.researchgate.net/profile/Zheng_Yan4/publication/238524281_A_QoS-aware_system_for_mobile_cloud_computing/links/58c95668a6fdcc63aa98cec8/A-QoS-aware-system-for-mobile-cloud-computing.pdf,,,1,51,No DOI available
Cloud-vision: Real-time face recognition using a mobile-cloudlet-cloud acceleration architecture,"T Soyata, R Muraleedharan, C Funai… - … (ISCC), 2012 IEEE …, 2012 - ieeexplore.ieee.org",2012,https://ieeexplore.ieee.org/abstract/document/6249269/,https://www.computer.org/csdl/proceedings/iscc/2012/2712/00/IS032.pdf,,,1,252,No DOI available
Mobile cloud computing: A comparison of application models,"D Kovachev, Y Cao, R Klamma - arXiv preprint arXiv:1107.4940, 2011 - arxiv.org",1107,https://arxiv.org/abs/1107.4940,https://arxiv.org/pdf/1107.4940,,,1,125,No DOI available
Measuring the efficiency of cloud computing for e-learning systems,"P Pocatilu, F Alecu, M Vetrici - Wseas transactions on computers, 2010 - wseas.us",2010,http://wseas.us/e-library/transactions/computers/2010/89-159.pdf,http://wseas.us/e-library/transactions/computers/2010/89-159.pdf,,,1,158,No DOI available
Integration of cloud computing and internet of things: a survey,"A Botta, W De Donato, V Persico, A Pescapé - Future Generation Computer …, 2016 - Elsevier",2016,https://www.sciencedirect.com/science/article/pii/S0167739X15003015,http://iranarze.ir/wp-content/uploads/2017/03/6229-English-IranArze.pdf,,,1,734,No DOI available
Mobile cloud computing service models: a user-centric approach,"D Huang, T Xing, H Wu - Ieee network, 2013 - ieeexplore.ieee.org",2013,https://ieeexplore.ieee.org/abstract/document/6616109/,https://www.researchgate.net/profile/Tianyi_Xing/publication/260352892_Mobile_Cloud_Computing_Service_Models_A_User-Centric_Approach/links/5598965d08ae793d137e1c52.pdf,,,1,91,No DOI available
Hand held bar code readers or mobile computers with cloud computing services,"H Qu, YP Wang - US Patent 8,820,630, 2014 - Google Patents",2014,https://patents.google.com/patent/US8820630B2/en,No PDF available,,,1,206,No DOI available
A framework for secure healthcare systems based on big data analytics in mobile cloud computing environments,"AE Youssef - Int J Ambient Syst Appl, 2014 - researchgate.net",2014,https://www.researchgate.net/profile/Ahmed_Youssef57/publication/273011700_A_Framework_for_Secure_Healthcare_Systems_Based_on_Big_Data_Analytics_in_Mobile_Cloud_Computing_Environments/links/56fd17cc08aea3275abb99ad/A-Framework-for-Secure-Healthcare-Systems-Based-on-Big-Data-Analytics-in-Mobile-Cloud-Computing-Environments.pdf,https://www.researchgate.net/profile/Ahmed_Youssef57/publication/273011700_A_Framework_for_Secure_Healthcare_Systems_Based_on_Big_Data_Analytics_in_Mobile_Cloud_Computing_Environments/links/56fd17cc08aea3275abb99ad/A-Framework-for-Secure-Healthcare-Systems-Based-on-Big-Data-Analytics-in-Mobile-Cloud-Computing-Environments.pdf,,,1,45,No DOI available
Mobile cloud computing: A review on smartphone augmentation approaches,"S Abolfazli, Z Sanaei, A Gani - arXiv preprint arXiv:1205.0451, 2012 - arxiv.org",1205,https://arxiv.org/abs/1205.0451,https://arxiv.org/pdf/1205.0451,,,1,60,No DOI available
Mobile cloud computing: Implications and challenges,"MR Prasad, J Gyani, PRK Murti - Journal of Information Engineering …, 2012 - academia.edu",2012,http://www.academia.edu/download/29440560/Mobile_Cloud_Computing__Implications_and_Challenges.pdf,http://www.academia.edu/download/29440560/Mobile_Cloud_Computing__Implications_and_Challenges.pdf,,,1,83,No DOI available
Computation offloading for service workflow in mobile cloud computing,"S Deng, L Huang, J Taheri… - IEEE Transactions on …, 2015 - ieeexplore.ieee.org",2015,https://ieeexplore.ieee.org/abstract/document/6987330/,https://www.researchgate.net/profile/Shuiguang_Deng/publication/273180314_Computation_Offloading_for_Service_Workflow_in_Mobile_Cloud_Computing/links/559b615008ae5d8f39380ec6.pdf,,,1,108,No DOI available
A survey on security issues in service delivery models of cloud computing,"S Subashini, V Kavitha - Journal of network and computer applications, 2011 - Elsevier",2011,https://www.sciencedirect.com/science/article/pii/S1084804510001281,http://www.academia.edu/download/27476239/10.pdf,,,1,2492,No DOI available
Migrate or not? exploiting dynamic task migration in mobile cloud computing systems.,"L Gkatzikis, I Koutsopoulos - IEEE Wireless Commun., 2013 - cs.aueb.gr",2013,http://www2.cs.aueb.gr/~jordan/PAPERS/W-COMM-MAG-2013-CLOUD.pdf,http://www2.cs.aueb.gr/~jordan/PAPERS/W-COMM-MAG-2013-CLOUD.pdf,,,1,103,No DOI available
A survey of mobile cloud computing for rich media applications,"Y Xu, S Mao - IEEE Wireless Communications, 2013 - ieeexplore.ieee.org",2013,https://ieeexplore.ieee.org/abstract/document/6549282/,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.726.1418&rep=rep1&type=pdf,,,1,91,No DOI available
Methods and/or systems for an online and/or mobile privacy and/or security encryption technologies used in cloud computing with the combination of data mining and …,"S Heath - US Patent App. 13/712,919, 2013 - Google Patents",2013,https://patents.google.com/patent/US20130268357A1/en,No PDF available,,,1,198,No DOI available
"Market-oriented cloud computing: Vision, hype, and reality for delivering it services as computing utilities","R Buyya, CS Yeo, S Venugopal - High Performance Computing …, 2008 - ieeexplore.ieee.org",2008,https://ieeexplore.ieee.org/abstract/document/4637675/,https://arxiv.org/pdf/0808.3558,,,1,2803,No DOI available
A mobile cloud computing framework integrating multilevel encoding for performance monitoring in telerehabilitation,"S Li, HT Pham, MS Karunarathne, YS Lee… - Mathematical …, 2015 - hindawi.com",2015,https://www.hindawi.com/journals/mpe/aa/617840/abs/,https://www.hindawi.com/journals/mpe/aa/617840/abs/,,,1,105,No DOI available
A framework for cooperative resource management in mobile cloud computing,"R Kaewpuang, D Niyato, P Wang… - IEEE Journal on …, 2013 - ieeexplore.ieee.org",2013,https://ieeexplore.ieee.org/abstract/document/6678114/,No PDF available,,,1,139,No DOI available
Enhancing privacy and dynamic federation in IdM for consumer cloud computing,"R Sánchez, F Almenares, P Arias… - IEEE Transactions …, 2012 - ieeexplore.ieee.org",2012,https://ieeexplore.ieee.org/abstract/document/6170060/,No PDF available,,,1,89,No DOI available
